id,nation,typeAudio,MaxPlayers,MaxCoins,idSalon,IdGame
71,China,Mono,1,9316,1,1
39,Ukraine,Mono,1,7303,1,1
56,Russia,Stereo,2,2170,1,1
86,Ukraine,Stereo,4,6696,1,1
20,Indonesia,Stereo,3,5135,34,2
58,Russia,Mono,2,7496,127,2
187,Russia,Stereo,4,445,168,2
274,China,Mono,1,9042,1,4
76,Russia,Mono,1,293,1,4
157,Russia,Stereo,3,7700,1,4
21,Indonesia,Stereo,1,3175,165,4
309,Indonesia,Mono,4,4022,42,5
197,Russia,Stereo,2,9556,65,5
385,China,Stereo,3,6671,67,5
126,China,Mono,3,7206,80,5
381,Indonesia,Stereo,3,7583,91,5
47,China,Mono,1,6386,112,5
379,China,Stereo,2,4149,154,5
282,Russia,Mono,1,5873,24,6
103,Indonesia,Mono,3,1601,122,6
358,China,Stereo,1,3999,179,6
223,Indonesia,Stereo,3,6416,87,7
374,Russia,Mono,1,3950,1,8
18,Germany,Mono,2,161,1,8
341,Russia,Stereo,2,3046,1,8
207,Argentina,Mono,3,1340,1,8
37,China,Stereo,3,943,1,8
148,Russia,Stereo,1,1274,73,8
226,China,Stereo,1,1993,101,10
217,China,Mono,1,1898,30,11
230,China,Stereo,1,4490,53,11
112,United States,Mono,2,1282,2,12
186,China,Mono,3,4990,17,12
132,China,Mono,3,1403,72,12
49,Ukraine,Mono,3,3141,131,14
34,China,Mono,3,3847,132,14
399,Argentina,Mono,4,6950,120,17
38,Japan,Stereo,4,4313,153,17
141,China,Mono,4,1055,33,18
291,Russia,Mono,3,2770,36,18
252,Indonesia,Stereo,1,3941,200,18
240,Japan,Stereo,4,8316,132,19
146,Indonesia,Mono,4,7034,183,19
72,Indonesia,Stereo,1,3533,191,19
380,Russia,Stereo,2,2837,86,21
118,China,Mono,3,3396,105,21
67,China,Mono,3,311,108,21
213,China,Mono,2,6830,114,21
158,China,Mono,4,8222,20,22
254,Russia,Stereo,3,8609,36,22
347,China,Mono,3,2232,164,24
301,Indonesia,Mono,1,1015,34,25
319,China,Stereo,3,2954,56,26
63,Indonesia,Mono,3,4663,115,26
305,Indonesia,Mono,4,2115,59,27
218,United States,Stereo,1,7604,2,28
55,United States,Stereo,2,5321,2,28
151,China,Mono,3,5177,129,28
234,China,Stereo,3,9200,175,28
353,Japan,Stereo,3,2934,45,29
167,China,Stereo,2,1922,42,30
373,Japan,Mono,1,540,96,30
292,China,Mono,1,9205,67,31
105,Indonesia,Mono,3,5172,147,31
386,Indonesia,Stereo,2,2484,19,32
50,Russia,Stereo,1,6619,50,33
369,Ukraine,Mono,2,4175,183,33
283,China,Mono,3,9437,198,33
59,Ukraine,Stereo,1,3881,179,34
328,China,Mono,2,3216,79,35
88,Russia,Mono,1,5448,117,35
233,China,Mono,1,4721,30,36
376,China,Mono,4,3494,96,36
54,China,Stereo,1,3530,130,37
129,Indonesia,Mono,3,6491,171,37
392,China,Stereo,3,9309,80,39
246,Russia,Mono,4,6789,149,39
125,United States,Stereo,2,5327,2,40
346,China,Stereo,2,8094,111,41
323,Indonesia,Stereo,1,233,132,42
265,Indonesia,Mono,3,1989,172,42
266,China,Stereo,2,4149,187,42
78,China,Mono,4,1802,22,44
298,China,Mono,2,4721,118,44
110,China,Mono,1,456,194,44
257,China,Stereo,2,9211,130,45
394,China,Mono,3,4492,94,46
335,China,Mono,3,3242,155,47
16,Russia,Stereo,4,8025,199,47
272,China,Mono,2,2339,38,50
294,China,Stereo,4,5296,117,50
8,Indonesia,Stereo,1,8077,138,51
303,Indonesia,Mono,2,2133,154,51
200,China,Mono,4,9561,185,51
62,China,Stereo,2,3670,22,53
351,Russia,Mono,1,5190,131,55
227,Indonesia,Stereo,3,1549,32,56
87,China,Stereo,4,8765,66,56
52,China,Stereo,3,4993,88,56
108,China,Mono,1,5546,26,57
365,Indonesia,Mono,4,1523,59,58
79,China,Stereo,4,433,128,58
175,China,Mono,1,1319,188,59
116,China,Stereo,2,7853,31,60
7,China,Mono,2,8303,196,60
89,Argentina,Stereo,1,7510,17,61
161,China,Stereo,2,4263,44,61
371,China,Stereo,2,4260,40,62
256,Indonesia,Mono,1,7269,149,63
109,Russia,Stereo,2,1599,58,64
293,Argentina,Mono,3,928,24,65
30,Indonesia,Mono,1,3611,45,65
286,China,Stereo,3,1379,65,65
90,Japan,Stereo,2,4865,164,65
238,Indonesia,Mono,4,5080,7,66
64,China,Mono,4,9347,10,66
359,Ukraine,Stereo,4,4520,14,66
211,China,Mono,4,127,21,66
153,China,Stereo,1,6758,81,66
92,Ukraine,Mono,2,6727,88,66
94,China,Mono,3,3881,156,66
152,Indonesia,Stereo,1,5010,20,67
212,Indonesia,Mono,1,6357,45,67
29,Russia,Stereo,2,4567,103,67
210,Indonesia,Stereo,3,9607,31,68
228,Russia,Mono,1,3491,50,68
9,Russia,Mono,3,9611,154,68
389,China,Stereo,4,4254,31,69
53,China,Stereo,1,9947,116,69
73,Russia,Stereo,4,1448,150,70
97,China,Stereo,2,7653,166,72
4,United States,Mono,3,9199,2,73
229,China,Mono,4,831,88,73
201,Indonesia,Mono,2,4483,2,74
19,Indonesia,Mono,1,4086,192,74
95,China,Stereo,2,4634,162,75
312,Russia,Mono,1,7966,22,79
41,China,Mono,1,7228,163,79
244,Indonesia,Stereo,3,7690,54,81
388,China,Mono,1,1284,147,81
196,China,Mono,4,5993,182,82
340,China,Mono,3,3830,97,83
136,China,Stereo,2,2272,102,83
80,China,Stereo,1,5041,42,84
65,Japan,Stereo,4,6793,57,84
91,Argentina,Mono,2,7644,107,84
242,China,Stereo,4,4868,172,84
352,Russia,Stereo,3,1794,55,85
23,Russia,Stereo,3,1776,131,85
324,Russia,Stereo,2,2458,157,85
327,Indonesia,Mono,4,5117,120,87
271,Indonesia,Mono,2,4161,29,88
333,Indonesia,Stereo,4,3652,59,88
308,Russia,Mono,4,3440,95,88
287,China,Mono,3,2342,179,88
249,BOCAJUNIORS,Mono,1,9409,2,89
189,Indonesia,Mono,1,5347,133,89
259,Russia,Mono,3,3944,110,90
3,United States,Stereo,4,4810,173,90
191,China,Stereo,3,5631,51,91
344,China,Stereo,4,9173,169,91
154,Argentina,Mono,4,4215,185,91
325,China,Stereo,4,6362,80,92
284,Russia,Stereo,2,4624,165,92
